
2024/03/11 (15:47:14) | ===> btop++ v.1.3.2
2024/03/11 (15:47:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/12 (21:11:03) | ===> btop++ v.1.3.2
2024/03/12 (21:11:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/12 (21:47:31) | ===> btop++ v.1.3.2
2024/03/12 (21:47:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (18:33:17) | ===> btop++ v.1.3.2
2024/03/13 (18:33:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (18:50:26) | ===> btop++ v.1.3.2
2024/03/13 (18:50:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (20:59:20) | ===> btop++ v.1.3.2
2024/03/13 (20:59:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/15 (21:58:25) | ===> btop++ v.1.3.2
2024/03/15 (21:58:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/15 (22:40:13) | ===> btop++ v.1.3.2
2024/03/15 (22:40:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/16 (17:12:55) | ===> btop++ v.1.3.2
2024/03/16 (17:12:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/16 (18:02:50) | ===> btop++ v.1.3.2
2024/03/16 (18:02:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/16 (18:03:10) | ===> btop++ v.1.3.2
2024/03/16 (18:03:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/16 (18:11:42) | ===> btop++ v.1.3.2
2024/03/16 (18:11:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/22 (11:34:37) | ===> btop++ v.1.3.2
2024/03/22 (11:34:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/22 (11:58:12) | ===> btop++ v.1.3.2
2024/03/22 (11:58:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/22 (11:59:10) | ===> btop++ v.1.3.2
2024/03/22 (11:59:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/22 (11:59:56) | ===> btop++ v.1.3.2
2024/03/22 (11:59:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/22 (13:09:52) | ===> btop++ v.1.3.2
2024/03/22 (13:09:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/22 (13:28:12) | ===> btop++ v.1.3.2
2024/03/22 (13:28:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/22 (14:05:41) | ===> btop++ v.1.3.2
2024/03/22 (14:05:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/23 (21:17:04) | ===> btop++ v.1.3.2
2024/03/23 (21:17:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/23 (21:19:43) | ===> btop++ v.1.3.2
2024/03/23 (21:19:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/23 (21:35:08) | ===> btop++ v.1.3.2
2024/03/23 (21:35:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/23 (21:43:07) | ERROR: Stall in Runner thread, restarting!
2024/03/23 (21:44:04) | ERROR: Stall in Runner thread, restarting!
2024/03/23 (21:47:25) | ERROR: Stall in Runner thread, restarting!
2024/03/23 (21:48:31) | ERROR: Stall in Runner thread, restarting!

2024/03/23 (22:28:13) | ===> btop++ v.1.3.2
2024/03/23 (22:28:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
